"","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism","Ribosome","Biosynthesis of amino acids","Oxidative phosphorylation","Glycolysis / Gluconeogenesis","Carbon fixation in photosynthetic organisms","Pyruvate metabolism","Spliceosome","Protein processing in endoplasmic reticulum","Glutathione metabolism","Starch and sucrose metabolism","Glyoxylate and dicarboxylate metabolism","Photosynthesis","Amino sugar and nucleotide sugar metabolism","Phenylpropanoid biosynthesis","RNA transport","Citrate cycle (TCA cycle)","Pentose phosphate pathway","Purine metabolism","Endocytosis","Proteasome","Fructose and mannose metabolism","Aminoacyl-tRNA biosynthesis","Alanine, aspartate and glutamate metabolism","Glycine, serine and threonine metabolism","Cysteine and methionine metabolism","Peroxisome","Ascorbate and aldarate metabolism","Phagosome","Porphyrin and chlorophyll metabolism","mRNA surveillance pathway","RNA degradation","Plant-pathogen interaction","Fatty acid degradation","alpha-Linolenic acid metabolism","2-Oxocarboxylic acid metabolism","MAPK signaling pathway - plant","Valine, leucine and isoleucine degradation","Glycerolipid metabolism","Galactose metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","Fatty acid metabolism","Arginine biosynthesis","Tryptophan metabolism","Cyanoamino acid metabolism","Ubiquinone and other terpenoid-quinone biosynthesis","Pyrimidine metabolism","Tyrosine metabolism","Protein export","Arginine and proline metabolism","Histidine metabolism","beta-Alanine metabolism","Glycerophospholipid metabolism","Photosynthesis - antenna proteins","Lysine degradation","Inositol phosphate metabolism","Propanoate metabolism","Butanoate metabolism","Terpenoid backbone biosynthesis","Nitrogen metabolism","Lysine biosynthesis","Phenylalanine metabolism","Riboflavin metabolism","Sulfur metabolism","Ribosome biogenesis in eukaryotes","Nucleotide excision repair","Plant hormone signal transduction","Ubiquitin mediated proteolysis","SNARE interactions in vesicular transport","Fatty acid biosynthesis","Other glycan degradation","Various types of N-glycan biosynthesis","Arachidonic acid metabolism","Sphingolipid metabolism","One carbon pool by folate","Thiamine metabolism","Biosynthesis of unsaturated fatty acids","DNA replication","Phosphatidylinositol signaling system","Pentose and glucuronate interconversions","Cutin, suberine and wax biosynthesis","Monobactam biosynthesis","N-Glycan biosynthesis","Linoleic acid metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series","Vitamin B6 metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Carotenoid biosynthesis","Flavonoid biosynthesis","Mismatch repair","Caffeine metabolism","Valine, leucine and isoleucine biosynthesis","Selenocompound metabolism","Glycosaminoglycan degradation","Glycosphingolipid biosynthesis - ganglio series","Nicotinate and nicotinamide metabolism","Monoterpenoid biosynthesis","Limonene and pinene degradation","Isoquinoline alkaloid biosynthesis","Tropane, piperidine and pyridine alkaloid biosynthesis","Base excision repair","Circadian rhythm - plant","Fatty acid elongation","Taurine and hypotaurine metabolism","Ether lipid metabolism","C5-Branched dibasic acid metabolism","Biotin metabolism","Diterpenoid biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Glucosinolate biosynthesis","ABC transporters","Homologous recombination","Sulfur relay system","Autophagy - other","AGE-RAGE signaling pathway in diabetic complications"
"Means.5ControlA13 purple.txt",-0.951937008,-0.720515573,-0.530451102,0,-0.308249226,-0.050985691,-0.222895647,-0.257362478,-0.078785083,-0.06917403,-0.06917403,0,0,-0.17421666,-0.094905898,-0.043019026,-0.143132602,-0.012775578,-0.031719408,-0.062857196,0,-0.06917403,0,-0.092304275,0,0,-0.051903772,-0.031719408,-0.108077581,0,0,0,0,-0.107347661,0,0,0,0,-0.113837191,0,-0.043019026,0,0,-0.065195643,0,-0.113837191,0,0,0,0,0,0,-0.085353579,0,0,0,0,-0.029447079,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065195643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029721442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065195643,0,0,0,0,0,0,0,0
"Means.2Moderate14 red.txt",0.149413811,0.038260909,-0.006887443,0,-0.035189121,0.089558068,0,0,0,0.113760881,0.039462423,-0.040536553,0,-0.006887443,0.050289639,0.008903003,0,0.003630068,0,0,-0.00049245,0.03361819,0,0,0.053885009,0,-0.006887443,0,0.06657005,0.008903003,0,0,0,0.029767542,0,0,0,0,0,0,0.048585574,0,-0.028301678,0,0,0,-0.006887443,0,0,0,0,0,0,0,0.048585574,0,0.007335091,0,0,0,0,0,0,0,0.025356906,0,0,0,0,0,0,0,0,0,0,0,-0.006052249,0,0,0,0,0.008903003,0.019654743,0,0,0,0,0,0.032601304,0.025356906,0,0,0,0,0,0.011228695,0,0,0.013291989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme14 red.txt",-0.095751407,-0.068720851,-0.026754671,0,-0.076697649,0.035017886,0,0,0,0.025910232,-0.001889178,-0.078369307,0,-0.026754671,-0.017385164,0.013117963,0,-0.002506194,0,0,-0.018312938,-0.000123034,0,0,-0.014029061,0,-0.026754671,0,-0.016156268,0.013117963,0,0,0,0.029366847,0,0,0,0,0,0,0.029147226,0,-0.049942978,0,0,0,-0.026754671,0,0,0,0,0,0,0,0.029147226,0,-0.024730076,0,0,0,0,0,0,0,-0.00285749,0,0,0,0,0,0,0,0,0,0,0,-0.046604468,0,0,0,0,0.013117963,-0.002765929,0,0,0,0,0,0.018920916,-0.00285749,0,0,0,0,0,-0.02184248,0,0,0.009012062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery14 red.txt",0.159349498,0.054408311,0.006411867,0,-0.027356815,0.063075387,0,0,0,-0.049211827,-0.055558949,0.036988117,0,0.006411867,0.075835594,-0.010900778,0,-0.016105692,0,0,0.0397922,-0.032966027,0,0,0.017639609,0,0.006411867,0,0.069476589,-0.010900778,0,0,0,-0.001993838,0,0,0,0,0,0,0.044129779,0,-0.033768682,0,0,0,0.006411867,0,0,0,0,0,0,0,0.044129779,0,-0.030830744,0,0,0,0,0,0,0,-0.002156853,0,0,0,0,0,0,0,0,0,0,0,0.015018104,0,0,0,0,-0.010900778,0.026152385,0,0,0,0,0,0.039793446,-0.002156853,0,0,0,0,0,-0.051956673,0,0,0.006815759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA14 red.txt",-0.01065253,-0.043434613,-0.031096843,0,-0.048629031,0.024696812,0,0,0,0.103921219,0.022251607,-0.099775886,0,-0.031096843,-0.0410322015,0.048680933,0,0.02908446,0,0,-0.028861159,0.023689024,0,0,0.05845632,0,-0.031096843,0,0.0526365,0.048680933,0,0,0,0.031659693,0,0,0,0,0,0,0.02086425,0,-0.017532188,0,0,0,-0.031096843,0,0,0,0,0,0,0,0.02086425,0,-0.002280441,0,0,0,0,0,0,0,0.013191327,0,0,0,0,0,0,0,0,0,0,0,-0.043672206,0,0,0,0,0.048680933,0.002653155,0,0,0,0,0,0.034057863,0.013191327,0,0,0,0,0,0.031722832,0,0,0.027402802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate15 salmon.txt",0.125753076,0.035746923,0.035953762,0,-0.05091158,0.032054861,-0.000467407,0.035953762,0.035953762,0.007548652,0,0,0,-0.05091158,0,0,-0.000358142999999998,0,0,0,0,0,0,0,0,-0.05091158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05091158,0,0,0,0,0,0,0,0,0,0.027522918,0.088609244,0,0,0,0,0,-0.05091158,0,0,0.03171675,0,0.017444467,0,0,0,0,0,0,-0.010844411,0,0,0,0,0,0,0,0,0,0,-0.010844411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004855723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme15 salmon.txt",-0.457216321,-0.191312535,-0.042291459,0,-0.130899859,-0.125879278,-0.063226386,-0.042291459,-0.042291459,-0.021917542,0,0,0,-0.130899859,0,0,-0.113892956,0,0,0,0,0,0,0,0,-0.130899859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130899859,0,0,0,0,0,0,0,0,0,-0.011657856,0.071768069,0,0,0,0,0,-0.130899859,0,0,-0.013841433,0,-0.006126921,0,0,0,0,0,0,-0.038953019,0,0,0,0,0,0,0,0,0,0,-0.038953019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00035176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery15 salmon.txt",0.31575204,0.175928433,0.003872551,0,0.003291151,0.057454216,0.032207582,0.003872551,0.003872551,0.032763797,0,0,0,0.003291151,0,0,0.035121091,0,0,0,0,0,0,0,0,0.003291151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003291151,0,0,0,0,0,0,0,0,0,0.031163533,0.176949953,0,0,0,0,0,0.003291151,0,0,0.033971479,0,0.032324823,0,0,0,0,0,0,-0.027115983,0,0,0,0,0,0,0,0,0,0,-0.027115983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074628281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA15 salmon.txt",0.161675711,0.136430973,0.026349536,0,-0.027999613,0.026368313,-0.003299182,0.026349536,0.026349536,0.025184081,0,0,0,-0.027999613,0,0,0.048927119,0,0,0,0,0,0,0,0,-0.027999613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027999613,0,0,0,0,0,0,0,0,0,0.033359822,0.064095491,0,0,0,0,0,-0.027999613,0,0,0.033969072,0,0.039238618,0,0,0,0,0,0,-0.006735025,0,0,0,0,0,0,0,0,0,0,-0.006735025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056833964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate16 tan.txt",0.308818496,0.172552352,0.027353405,0,0,0,0.042389691,0.015070076,0.027319615,0,0,0.020851271,-0.015916295,0.012283329,0.004590479,-0.015916295,0,0,0,0.015070076,0,0,0,-0.000846219,0,0,0.014945616,0,0.052540668,0.048170886,0,0,0,0,0.06572537,0.079860283,0.109619473,0,0.06572537,0.027319615,0.027319615,0,0,0.052540668,0,0.027319615,0,0,0,0,0,0.027319615,0.027319615,0.027319615,0,0.058283726,0.027319615,0,0,0,0.024176154,0,0,0,0,0,0,0,0.06572537,0,0,0.052540668,0,0,0,0,0.014945616,0,0,0,0,0,0,0,0,0.109619473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027319615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme16 tan.txt",-0.104741005,-0.113311363,-0.052582464,0,0,0,-0.001056732,-0.016657739,0.015601007,0,0,0.013134476,-0.076961498,-0.035924725,-0.063206401,-0.076961498,0,0,0,-0.016657739,0,0,0,-0.093619237,0,0,0.002708796,0,0.019610127,0.028735483,0,0,0,0,0.05475069,0.035211134,-0.020067196,0,0.05475069,0.015601007,0.015601007,0,0,0.019610127,0,0.015601007,0,0,0,0,0,0.015601007,0.015601007,0.015601007,0,0.039032156,0.015601007,0,0,0,0.020698788,0,0,0,0,0,0,0,0.05475069,0,0,0.019610127,0,0,0,0,0.002708796,0,0,0,0,0,0,0,0,-0.020067196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015601007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery16 tan.txt",0.510345097,0.298846626,0.098142757,0,0,0,0.070251645,0.0191172,0.051134445,0,0,0.01211782,0.073770474,0.079025557,0.109349774,0.073770474,0,0,0,0.0191172,0,0,0,0.092887674,0,0,0.029829765,0,0.021884413,0.063252265,0,0,0,0,0.19395036,0.073018858,0.044812349,0,0.19395036,0.051134445,0.051134445,0,0,0.021884413,0,0.051134445,0,0,0,0,0,0.051134445,0.051134445,0.051134445,0,0.068146464,0.051134445,0,0,0,0.030986601,0,0,0,0,0,0,0,0.19395036,0,0,0.021884413,0,0,0,0,0.029829765,0,0,0,0,0,0,0,0,0.044812349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051134445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA16 tan.txt",-0.133075957,-0.092752141,-0.090070183,0,0,0,-0.003582947,-0.018547606,0.014964659,0,0,-0.013335659,-0.046951705,-0.071522577,-0.073195264,-0.046951705,0,0,0,-0.018547606,0,0,0,-0.065499311,0,0,-0.012408155,0,0.002546264,0.001629,0,0,0,0,0.082112441,0.017510923,0.005717772,0,0.082112441,0.014964659,0.014964659,0,0,0.002546264,0,0.014964659,0,0,0,0,0,0.014964659,0.014964659,0.014964659,0,0.043660843,0.014964659,0,0,0,0.023587316,0,0,0,0,0,0,0,0.082112441,0,0,0.002546264,0,0,0,0,-0.012408155,0,0,0,0,0,0,0,0,0.005717772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014964659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate17 turquoise.txt",0.4655270179,0.148111523,-0.359301766,-0.356396987,0.048418226,0.1465883789,-0.071790796,-0.018844341,-0.192207013,0.003321313,-0.209651635,-0.030514136,0.1693754,-0.140055715,0.206410498,0.075078964,0.148168621,0.01313243,-0.220503063,0.023553898,0.058788234,0.227045111,-0.146824302,0.12794656,0.10609761,-0.034927697,0.077287049,0.080821032,-0.022906556,-0.053174834,0.086395783,0.000438481,-0.120646843,0.106783373,-0.295931273,0.101352778,-0.153161592,-0.025959488,0.023894855,0.000593539999999997,-0.088640922,-0.063178505,-0.03522452,0.000644256999999999,-0.070239186,-0.044045365,0.01929741,0.101014531,0.002957479,0.018184997,-0.052377141,-0.004213553,-0.003091361,0.025147138,0.006263373,0,-0.015024541,0.1117577,0.032543104,-0.057726137,0,-0.048711781,0.063230579,-0.00748998,0.052603171,0.028219621,0.019671061,0.008326104,0,0.008326104,-0.055271312,0.014070146,0.018181135,0,-0.030691843,-0.069500611,0.06022098,-0.014288531,-0.029129687,0,0.055812256,0.013290763,0.021354528,0.063230579,0,-0.173801261,-0.082633754,0.023224223,0.035930688,0,0,0.137167469,0,0.077782054,0.028258576,-0.002010398,0,0,0,0,-0.021552053,-0.022721585,-0.022721585,0,0,0,0,0,0,0,0,0.137167469,0,0,0,0,0.011164261,0.055812256
"Means.3Extreme17 turquoise.txt",11.332578287,5.704006904,2.270904318,0.18749475,1.474905739,0.831655541,2.432671339,1.038950952,1.314079745,1.134126353,1.862605025,1.080554759,1.123678903,0.49793767,0.521774893,0.882271073,0.764402907,0.212339259,0.50796361,0.556704722,0.51983763,1.504745298,0.285326826,0.40232696,0.215116574,0.365677805,0.413236188,0.365495731,0.630761885,0.689611175,0.562030994,0.076458587,0.10636325,0.606119992,0.364110439,0.862275299,0.201349271,0.444932611,0.626663624,0.790436437,0.470139449,0.332902938,0.057150281,0.306124667,0.238144597,0.545678111,0.282606201,0.694931017,0.41985406,0.634648475,0.014124105,0.902026406,0.407895192,0.608590104,0.038399807,0,0.462169485,0.462839209,0.177629505,0.384735796,0,0.017112962,0.077949654,0.309298198,0.263894199,0.09372843,0.059610214,0.081242319,0,0.081242319,0.078395584,0.123692793,0.129372975,0,0.340239023,0.185366497,0.05867772,0.010105921,0.1305919,0,0.067281386,0.035878205,0.741175887,0.077949654,0,-0.029664064,0.067155389,0.049798673,0.224421075,0,0,0.126367411,0,0.307563101,0.045939697,0.019447763,0,0,0,0,0.091238829,0.019325379,0.019325379,0,0,0,0,0,0,0,0,0.126367411,0,0,0,0,0.048729143,0.067281386
"Means.4Recovery17 turquoise.txt",3.173980995,1.445956906,0.376929219,-0.167879494,0.399949174,0.452323066,0.504577869,0.299015903,0.211553049,0.336522479,-0.15517642,-0.00371888900000001,0.582399659,0.079775398,0.332714228,0.455452918,0.198989046,-0.060381303,0.093287566,0.043865396,0.162024951,0.384722454,-0.089868661,0.008877766,-0.011675217,0.080915294,0.140578364,0.065469006,-0.074083625,0.053887635,0.242938464,-0.006953293,-0.026775575,0.098522484,0.020285548,0.098868231,-0.099456896,0.142838604,0.322060507,0.151074527,0.158905974,0.093357163,-0.05745733,-0.040890863,-0.009160784,0.113610168,0.041774441,0.037232337,0.169050815,-0.002240196,-0.041204176,0.222569946,0.105324393,0.219336176,-0.008068644,0,0.138787198,0.176837323,0.050071073,0.049848664,0,0.005510342,0.082866408,-0.022171116,0.102602656,0.036821836,0.015474974,0.03490585,0,0.03490585,-0.118287902,-0.002255264,0.062060855,0,0.048358279,0.108244215,0.028114747,0.008780631,-0.032046002,0,0.061109237,0.031095567,0.327339902,0.082866408,0,-0.031882793,0.039776998,0.003704176,0.134764598,0,0,0.03975942,0,0.081119153,0.051575602,-0.008180048,0,0,0,0,0.027161949,-0.028057156,-0.028057156,0,0,0,0,0,0,0,0,0.03975942,0,0,0,0,-0.02511865,0.061109237
"Means.5ControlA17 turquoise.txt",-0.69971069884,-0.48231420164,-0.2549467963,-0.313241222,-0.1291586153,0.22357001,-0.2235879073,-0.0747269873,-0.163028498,-0.015242077,0.119753116,-0.1377422422,-0.174963315,-0.021393092,-0.072152626,-0.236874565,0.017922073,0.024309139,-0.064225021,-0.153203624,-0.107878458,0.070617235,-0.000218434999999999,0.025630344,-0.06793256134,-0.029798509,0.051097993,0.101534613,-0.028496352,-0.069787306,0.150222605,-0.01358475034,-0.057156892,0.048702859,-0.238598285,0.017476472,-0.135240032,0.019027934,-0.153360527,-0.020739608,-0.094378263,-0.174643866,-0.065719534,-0.00711448,-0.062935297,-0.025321294,-0.050585003,0.117550379,-0.001010552,-0.069612794,-0.008413296,-0.054279592,-0.042077264,0.024491988,-0.002708555,0,0.006466935,0.029272013,0.050615885,0.002580339,0,-0.098573864,0.016328868,-0.034157906,-0.000264471,-0.069960986,0.041552645,0.052576262,0,0.052576262,-0.045335733,0.041924751,-0.00094398,0,0.004904236,-0.087541099,-0.005682518,0.001065273,-0.036683246,0,0.027013354,-0.033824923,-0.011928992,0.016328868,0,-0.052942662,-0.088664455,-0.005510039,0.052707934,0,0,0.042753014,0,0.014814272,0.031452047,-0.040475107,0,0,0,0,0.002499322,-0.022404374,-0.022404374,0,0,0,0,0,0,0,0,0.042753014,0,0,0,0,-0.048050764,0.027013354
"Means.2Moderate18 yellow.txt",-0.197331752,-0.2290974,-0.005135415,-0.966834259,-0.058673649,0,0,0,0,0,-0.00970676,-0.024773122,0.002647357,0,0,0,0.002647357,-0.043017435,0,0,-0.036589115,0,0,0,-0.021441625,-0.001725546,-0.005135415,-0.005135415,0,-0.024773122,-0.00970676,-0.132195764,-0.043017435,-0.043017435,0,0,0,0,-0.04872794,0,0,0,-0.03593796,0,0,0.058264316,0.002647357,0,-0.062592311,0,-0.00970676,0,-0.017600274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005135415,0,-0.070727596,0.007852596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme18 yellow.txt",-0.40294406,-0.385575403,-0.004171169,-1.126696429,-0.085992284,0,0,0,0,0,-0.044263415,-0.002158519,-0.048509487,0,0,0,-0.048509487,-0.061165029,0,0,-0.061863097,0,0,0,-0.047351882,-0.0434657,-0.004171169,-0.004171169,0,-0.002158519,-0.044263415,-0.218436939,-0.061165029,-0.061165029,0,0,0,0,-0.037081405,0,0,0,-0.058558785,0,0,0.028255562,-0.048509487,0,-0.055765413,0,-0.044263415,0,-0.02326233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004171169,0,-0.121051405,0.004444712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery18 yellow.txt",0.054364618,-0.095007595,0.009264228,-0.649893307,-0.014536112,0,0,0,0,0,-0.014606087,0.014743114,0.004079973,0,0,0,0.004079973,-0.040288541,0,0,-0.031841345,0,0,0,0.002610857,0.022828515,0.009264228,0.009264228,0,0.014743114,-0.014606087,-0.061929985,-0.040288541,-0.040288541,0,0,0,0,-0.052365611,0,0,0,-0.02611555,0,0,0.111800584,0.004079973,0,-0.050061362,0,-0.014606087,0,0.00231521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009264228,0,-0.045993793,0.02974414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA18 yellow.txt",-0.183187652,-0.194701057,0.017197902,-0.831150679,-0.004681823,0,0,0,0,0,-0.046029264,0.028642617,-0.014754014,0,0,0,-0.014754014,-0.046507376,0,0,-0.042007571,0,0,0,-0.027137211,-0.010414053,0.017197902,0.017197902,0,0.028642617,-0.046029264,-0.150373166,-0.046507376,-0.046507376,0,0,0,0,-0.042125867,0,0,0,-0.02037706,0,0,-0.006715159,-0.014754014,0,-0.052658216,0,-0.046029264,0,-0.001502665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017197902,0,-0.034747358,0.017233813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
